nom_station,polluant,valeur,unite,date,x_l93,y_l93,
ANTIBES JEAN MOULIN,Dioxyde d'azote,17.3,,14/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,13,,15/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,39.3,,16/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,33.6,,17/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,34.7,,18/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,16.5,,19/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Dioxyde d'azote,9.1,,20/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,33.5,,14/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,20.9,,15/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,78.8,,16/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,55.1,,17/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,68.8,,18/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,25.9,,19/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Oxydes d'azote,13.3,,20/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,54.8,,14/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,56.2,,15/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,30.8,,16/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,33.7,,17/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,20.8,,18/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,44,,19/10/2019 00:00,1030459.23,6286316.81,
ANTIBES JEAN MOULIN,Ozone,54.3,,20/10/2019 00:00,1030459.23,6286316.81,
CANNES BROUSSAILLES,Dioxyde d'azote,8.6,,14/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,8.9,,15/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,20.1,,16/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,23.6,,17/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,30.6,,18/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,13.3,,19/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Dioxyde d'azote,5.6,,20/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Oxydes d'azote,11.8,,14/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Oxydes d'azote,11.7,,15/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Oxydes d'azote,26.1,,16/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Oxydes d'azote,32.7,,17/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Oxydes d'azote,47.5,,18/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Oxydes d'azote,17.4,,19/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Oxydes d'azote,7.3,,20/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Ozone,71.2,,14/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Ozone,63.7,,15/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Ozone,50.2,,16/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Ozone,45.6,,17/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Ozone,34.4,,18/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Ozone,59.7,,19/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Ozone,68.9,,20/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Particules PM10,16.7,,15/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Particules PM10,9.9,,16/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Particules PM10,13.4,,17/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Particules PM10,14.6,,18/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Particules PM10,18.8,,19/10/2019 00:00,1023650.32,6281469.41,
CANNES BROUSSAILLES,Particules PM10,20.2,,20/10/2019 00:00,1023650.32,6281469.41,
NICE OUEST BOTANIQUE,Ozone,61.7,,14/10/2019 00:00,1039466.94,6296404.64,
NICE OUEST BOTANIQUE,Ozone,57.5,,15/10/2019 00:00,1039466.94,6296404.64,
NICE OUEST BOTANIQUE,Ozone,53.6,,16/10/2019 00:00,1039466.94,6296404.64,
NICE OUEST BOTANIQUE,Ozone,46.6,,17/10/2019 00:00,1039466.94,6296404.64,
NICE OUEST BOTANIQUE,Ozone,40.6,,18/10/2019 00:00,1039466.94,6296404.64,
NICE OUEST BOTANIQUE,Ozone,49.5,,19/10/2019 00:00,1039466.94,6296404.64,
NICE OUEST BOTANIQUE,Ozone,51.3,,20/10/2019 00:00,1039466.94,6296404.64,
GRASSE CLAVECIN,Ozone,55.4,,14/10/2019 00:00,1016237.08,6292156.04,
GRASSE CLAVECIN,Ozone,50.6,,15/10/2019 00:00,1016237.08,6292156.04,
GRASSE CLAVECIN,Ozone,46.1,,16/10/2019 00:00,1016237.08,6292156.04,
GRASSE CLAVECIN,Ozone,43.9,,17/10/2019 00:00,1016237.08,6292156.04,
GRASSE CLAVECIN,Ozone,38.6,,18/10/2019 00:00,1016237.08,6292156.04,
GRASSE CLAVECIN,Ozone,43.1,,19/10/2019 00:00,1016237.08,6292156.04,
GRASSE CLAVECIN,Ozone,52.9,,20/10/2019 00:00,1016237.08,6292156.04,
PEILLON,Particules PM10,26.1,,14/10/2019 00:00,1051897.83,6308365.69,
PEILLON,Particules PM10,19.9,,15/10/2019 00:00,1051897.83,6308365.69,
PEILLON,Particules PM10,20.2,,16/10/2019 00:00,1051897.83,6308365.69,
PEILLON,Particules PM10,19.2,,17/10/2019 00:00,1051897.83,6308365.69,
PEILLON,Particules PM10,23,,18/10/2019 00:00,1051897.83,6308365.69,
PEILLON,Particules PM10,16.2,,19/10/2019 00:00,1051897.83,6308365.69,
PEILLON,Particules PM10,20.6,,20/10/2019 00:00,1051897.83,6308365.69,
CONTES 2,Dioxyde d'azote,14.4,,14/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Dioxyde d'azote,11.8,,15/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Dioxyde d'azote,17.9,,16/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Dioxyde d'azote,17.2,,17/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Dioxyde d'azote,13.9,,18/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Dioxyde d'azote,11.3,,19/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Dioxyde d'azote,13.9,,20/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Oxydes d'azote,29,,14/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Oxydes d'azote,16.1,,15/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Oxydes d'azote,35.9,,16/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Oxydes d'azote,40.9,,17/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Oxydes d'azote,30.7,,18/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Oxydes d'azote,17.2,,19/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Oxydes d'azote,22.3,,20/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Particules PM10,29.9,,14/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Particules PM10,19.1,,15/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Particules PM10,21.7,,16/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Particules PM10,25.5,,17/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Particules PM10,21,,18/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Particules PM10,16,,19/10/2019 00:00,1048596.86,6308424.69,
CONTES 2,Particules PM10,20.2,,20/10/2019 00:00,1048596.86,6308424.69,
AEROPORT NICE,Dioxyde d'azote,24.2,,14/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Dioxyde d'azote,10.4,,15/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Dioxyde d'azote,22.1,,16/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Dioxyde d'azote,18.4,,17/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Dioxyde d'azote,24,,18/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Dioxyde d'azote,13,,19/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Dioxyde d'azote,16.1,,20/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Oxydes d'azote,35.5,,14/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Oxydes d'azote,14.3,,15/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Oxydes d'azote,31.1,,16/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Oxydes d'azote,27.2,,17/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Oxydes d'azote,33.8,,18/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Oxydes d'azote,18.2,,19/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Oxydes d'azote,20.7,,20/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Ozone,43.4,,14/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Ozone,52.1,,15/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Ozone,39.1,,16/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Ozone,35,,17/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Ozone,27.7,,18/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Ozone,40,,19/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Ozone,37.7,,20/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Particules PM10,27.4,,14/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Particules PM10,20.8,,15/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Particules PM10,16.7,,16/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Particules PM10,15.9,,17/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Particules PM10,14.8,,18/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Particules PM10,16,,19/10/2019 00:00,1038885.81,6293319.46,
AEROPORT NICE,Particules PM10,21.7,,20/10/2019 00:00,1038885.81,6293319.46,
NICE PROMENADE,Dioxyde d'azote,26.9,,14/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Dioxyde d'azote,29.7,,15/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Dioxyde d'azote,32.1,,16/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Dioxyde d'azote,36.8,,17/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Dioxyde d'azote,39.6,,18/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Dioxyde d'azote,26.4,,19/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Dioxyde d'azote,22,,20/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Oxydes d'azote,45.2,,14/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Oxydes d'azote,51.1,,15/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Oxydes d'azote,57.4,,16/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Oxydes d'azote,69.6,,17/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Oxydes d'azote,77.8,,18/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Oxydes d'azote,42.3,,19/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Oxydes d'azote,32.7,,20/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules PM10,37.6,,14/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules PM10,32.8,,15/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules PM10,32.7,,16/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules PM10,23.2,,17/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules PM10,20.5,,18/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules PM10,34.3,,19/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules PM10,34.4,,20/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules fines PM2,17.1,,14/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules fines PM2,12.4,,15/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules fines PM2,10.7,,16/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules fines PM2,12.4,,17/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules fines PM2,12.1,,18/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules fines PM2,13.5,,19/10/2019 00:00,1041930.96,6296993.05,
NICE PROMENADE,Particules fines PM2,14.2,,20/10/2019 00:00,1041930.96,6296993.05,
NICE ARSON,Dioxyde d'azote,23.4,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Dioxyde d'azote,20,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Dioxyde d'azote,30.4,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Dioxyde d'azote,33,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Dioxyde d'azote,35,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Dioxyde d'azote,24.7,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Dioxyde d'azote,21.1,,20/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,32.4,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,24.2,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,50.4,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,49.4,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,58.6,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,33.3,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Oxydes d'azote,24.3,,20/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,23.3,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,35.9,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,24.9,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,17.8,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,12.1,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,23.5,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Ozone,25,,20/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,30.2,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,17.9,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,14.3,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,15.5,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,13.8,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,13.6,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules PM10,18,,20/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,14.5,,14/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,9,,15/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,5.4,,16/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,6.9,,17/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,6.9,,18/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,8.2,,19/10/2019 00:00,1045411.64,6298604.32,
NICE ARSON,Particules fines PM2,10.3,,20/10/2019 00:00,1045411.64,6298604.32,
Cheiron,Ozone,70.7,,14/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,76.3,,15/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,69.6,,16/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,69.2,,17/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,63.7,,18/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,73.8,,19/10/2019 00:00,1025739.52,6307562.49,
Cheiron,Ozone,64.6,,20/10/2019 00:00,1025739.52,6307562.49,
